봉정사,지역사찰,강원도,영월군,영월읍,128.4899878,37.14376411
송산사,지역사찰,강원도,영월군,영월읍,128.4786728,37.21037318
영룡사,지역사찰,경상북도,청송군,부남면,129.1456081,36.27564368
천장사,지역사찰,경상북도,청송군,주왕산면,129.1740066,36.3656784
칠성암,지역사찰,경상북도,문경시,동로면,128.3135483,36.78299464
화엄사,지역사찰,경기도,포천시,군내면,127.2293479,37.85756903
반야사,지역사찰,서울특별시,성북구,정릉동,126.9967118,37.60853531
금오랜드,테마공원/대형놀이공원,경상북도,구미시,남통동,128.3160805,36.11308728
금정농원,관광농원/허브마을,부산광역시,금정구,두구동,129.108809,35.29948143
무창포해수욕장,해수욕장,충청남도,보령시,웅천읍,126.536608,36.24502916
대진해수욕장,해수욕장,경상북도,영덕군,영해면,129.4267165,36.56504622
바람아래해수욕장,해수욕장,충청남도,태안군,고남면,126.3765778,36.4123392
왕산해수욕장,해수욕장,인천광역시,중구,을왕동,126.3692363,37.45534671
황포해수욕장,해수욕장,경상남도,거제시,장목면,128.674887,35.02043577
청호해수욕장,해수욕장,강원도,속초시,청호동,128.5949757,38.20379026
목장불해수욕장,해수욕장,인천광역시,옹진군,자월면,126.2743532,37.16468952
야생동물원,동물원,경상남도,진주시,이반성면,128.2922977,35.15991232
한택식물원,식물원,경기도,용인시 처인구,백암면,127.4044483,37.09484374
인흥서원,지역사찰,대구광역시,달성군,화원읍,128.5157296,35.78945912
조사리해수욕장,해수욕장,경상북도,포항시 북구,송라면,129.381582,36.22699171
관음사,지역사찰,서울특별시,성북구,정릉동,126.9942303,37.60651921
청평자연휴양림,휴양림/수목원,경기도,가평군,청평면,127.4106569,37.70648482
국립천관산자연휴양림,휴양림/수목원,전라남도,장흥군,관산읍,126.9016736,34.54497462
국립미천골자연휴양림,휴양림/수목원,강원도,양양군,서면,128.528501,37.93906467
양지산산림욕장,휴양림/수목원,경기도,시흥시,과림동,126.8274398,37.43597068
사평자연휴양림,휴양림/수목원,전라남도,화순군,사평면,127.1198379,34.99580362
암용추폭포,폭포/계곡,충청남도,계룡시,신도안면,127.2292852,36.33146453
염소굴폭포,폭포/계곡,경상북도,울릉군,북면,130.90842,37.53090672
옥방천,폭포/계곡,경상북도,울진군,금강송면,129.1377027,36.92257691
온정폭포,폭포/계곡,강원도,양양군,서면,128.435442,38.10278031
황장폭포,폭포/계곡,강원도,인제군,북면,128.3740584,38.15724188
근성서원,서원/향교/서당,경상북도,안동시,일직면,128.631477,36.48316313
구계서원,서원/향교/서당,경상남도,사천시,사천읍,128.1253318,35.0911959
창녕향교,서원/향교/서당,경상남도,창녕군,창녕읍,128.4979754,35.54775664
광릉유원지,일반유원지/일반놀이공원,경기도,남양주시,진접읍,127.1769105,37.74926018
금산공원,일반유원지/일반놀이공원,제주특별자치도,제주시,애월읍,126.330579,33.43387091
수동유원지,일반유원지/일반놀이공원,강원도,평창군,방림면,128.3457169,37.4523286
유원지,일반유원지/일반놀이공원,강원도,홍천군,영귀미면,127.9553591,37.69785128
청암유원지,일반유원지/일반놀이공원,경기도,포천시,창수면,127.1717658,38.02248398
비수구미,유명관광지,강원도,화천군,화천읍,127.8451689,38.19548316
산지천산책로,일반관광지,제주특별자치도,제주시,건입동,126.5292459,33.51534348
석송령,일반관광지,경상북도,예천군,감천면,128.4920343,36.72699233
양방산활공장,일반관광지,충청북도,단양군,단양읍,128.3818602,36.96830542
청령포,일반관광지,강원도,영월군,남면,128.445381,37.17611919
선녀와나무꾼테마공원,일반유원지/일반놀이공원,제주특별자치도,제주시,조천읍,126.703469,33.4788573
백련정사,지역사찰,강원도,인제군,인제읍,128.1709742,38.07145903
연화폭포,폭포/계곡,강원도,태백시,황지동,128.9953795,37.14787231
섶다리,일반관광지,강원도,영월군,주천면,128.3257973,37.29367333
포충사,지역사찰,강원도,철원군,철원읍,127.2062567,38.22456851
미약골,폭포/계곡,강원도,홍천군,서석면,128.2996215,37.74051872
학암포,일반관광지,충청남도,태안군,원북면,126.2068286,36.89758866
비석거리,일반관광지,강원도,양양군,양양읍,128.6271507,38.09001007
도자기마을,일반관광지,경기도,이천시,사음동,127.4120053,37.29306998
옥천관광농원,관광농원/허브마을,전라남도,구례군,간전면,127.5983164,35.19665638
우석농원,관광농원/허브마을,경기도,양주시,장흥면,126.9529531,37.70966027
다선관광농원,관광농원/허브마을,충청남도,논산시,벌곡면,127.2681223,36.19357519
귤향체험농원,관광농원/허브마을,제주특별자치도,서귀포시,성산읍,126.8928465,33.44432801
마산문학관,일반관광지,경상남도,창원시 마산합포구,상남동,128.5743039,35.2140246
대원사,지역사찰,경상북도,칠곡군,약목면,128.3842151,36.00155161
지용사,지역사찰,강원도,영월군,주천면,128.2499122,37.25282234
신흥사,지역사찰,경상북도,울진군,죽변면,129.4036223,37.04145638
국립수목원,휴양림/수목원,경기도,포천시,소흘읍,127.1666575,37.75262827
장림계곡,폭포/계곡,경기도,동두천시,탑동동,127.0937482,37.88076038
상촌계곡,폭포/계곡,경기도,양평군,강상면,127.4532032,37.43795654
연수계곡,폭포/계곡,경기도,양평군,용문면,127.5703035,37.52850508
남산산림욕장,휴양림/수목원,강원도,홍천군,홍천읍,127.8821218,37.67601292
민물고기판매장,토속/특산물/기념품매장,경기도,연천군,백학면,126.9164198,38.03020798
운교관광농원,관광농원/허브마을,강원도,평창군,방림면,128.2845284,37.42874544
봉서사,지역사찰,충청남도,서천군,한산면,126.7932217,36.08791682
상곡사,지역사찰,전라남도,강진군,작천면,126.7646005,34.72895268
보은강연꽃방죽,일반관광지,전라남도,영광군,백수읍,126.4436193,35.3290163
백천계곡,폭포/계곡,경상남도,사천시,백천동,128.0935782,34.99447396
성구사,지역사찰,경상남도,창원시 마산합포구,진전면,128.378422,35.1208733
조곡서원,서원/향교/서당,경상북도,경산시,남산면,128.8136647,35.76952357
두모연대,일반관광지,제주특별자치도,제주시,한경면,126.1818474,33.35751337
대흥사,지역사찰,경상북도,영덕군,지품면,129.175439,36.4725059
학동제,지역호수/저수지,전라남도,보성군,노동면,127.0668623,34.85660116
